"node_id"	"level1_id"	"level1_name"	"level2_id"	"level2_name"	"level3_id"	"level3_name"	"level4_id"	"level4_name"	"level5_id"	"level5_name"	"full_path"
"1"	"1"	"FUCTIONAL TESTING"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"FUCTIONAL TESTING"
"6246"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"6246"	"Lending"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Lending"
"6247"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"6246"	"Lending"	"6247"	"LBL"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Lending > LBL"
"22549"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"6246"	"Lending"	"22549"	"RSME"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Lending > RSME"
"48910"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"6246"	"Lending"	"48910"	"EC"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Lending > EC"
"49373"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"6246"	"Lending"	"49373"	"ER"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Lending > ER"
"49826"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"6246"	"Lending"	"49826"	"ELM"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Lending > ELM"
"51251"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"51251"	"Payment & Transactions"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Payment & Transactions"
"51252"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"51251"	"Payment & Transactions"	"51252"	"CBPMP"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Payment & Transactions > CBPMP"
"51273"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"51251"	"Payment & Transactions"	"51273"	"BT"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Payment & Transactions > BT"
"51332"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"51251"	"Payment & Transactions"	"51332"	"TestExcTool_BT"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Payment & Transactions > TestExcTool_BT"
"52905"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"51251"	"Payment & Transactions"	"52905"	"ATM"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Payment & Transactions > ATM"
"54302"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"51251"	"Payment & Transactions"	"54302"	"Additional ATM"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Payment & Transactions > Additional ATM"
"54377"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"51251"	"Payment & Transactions"	"54377"	"CB"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Payment & Transactions > CB"
"54708"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"51251"	"Payment & Transactions"	"54708"	"Additional_CB"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Payment & Transactions > Additional_CB"
"54753"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"51251"	"Payment & Transactions"	"54753"	"Additional_DHV"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Payment & Transactions > Additional_DHV"
"54772"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"51251"	"Payment & Transactions"	"54772"	"DHV"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Payment & Transactions > DHV"
"54901"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"51251"	"Payment & Transactions"	"54901"	"PIC"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Payment & Transactions > PIC"
"55294"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"51251"	"Payment & Transactions"	"55294"	"Additional_PIC"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Payment & Transactions > Additional_PIC"
"55299"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"51251"	"Payment & Transactions"	"55299"	"BFH"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Payment & Transactions > BFH"
"55400"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"51251"	"Payment & Transactions"	"55400"	"DLV"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Payment & Transactions > DLV"
"55985"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"51251"	"Payment & Transactions"	"55985"	"DDC"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Payment & Transactions > DDC"
"56028"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"56028"	"Trade & Treasury"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Trade & Treasury"
"56029"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"56028"	"Trade & Treasury"	"56029"	"TF"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Trade & Treasury > TF"
"58309"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"77511"	"BATCH 1"	"56028"	"Trade & Treasury"	"58309"	"Additional_TF"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 1 > Trade & Treasury > Additional_TF"
"58349"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"58349"	"BATCH 2"	"N/A"	"N/A"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 2"
"59041"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"58349"	"BATCH 2"	"59041"	"Branch & COPs Mgt"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 2 > Branch & COPs Mgt"
"59042"	"1"	"FUCTIONAL TESTING"	"106588"	"CYCLE 1"	"58349"	"BATCH 2"	"59041"	"Branch & COPs Mgt"	"59042"	"SI"	"FUCTIONAL TESTING > CYCLE 1 > BATCH 2 > Branch & COPs Mgt > SI"
