"test_path","testcase_count","passed_count","failed_count","blocked_count","not_run_count","pass_rate","fail_rate","block_rate","pending_rate"
FUCTIONAL TESTING > ARCHIVED > Lending > EC,218,78,11,129,0,87.64,12.36,59.17,0.00
FUCTIONAL TESTING > ARCHIVED > Lending > ER,226,55,162,9,0,25.35,74.65,3.98,0.00
FUCTIONAL TESTING > ARCHIVED > Lending > LBL,10,1,9,0,0,10.00,90.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 1 > BATCH 2 > Branch & COPs Mgt > OBBRN,340,340,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 1 > BATCH 2 > Branch & COPs Mgt > SI,213,213,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 1 > BATCH 2 > CASA & TD > CASA,2369,2369,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 1 > BATCH 2 > CASA & TD > CASA_1,1535,1535,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 1 > BATCH 2 > CASA & TD > CASA_2,824,824,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 1 > BATCH 2 > CASA & TD > LQM,147,147,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 1 > BATCH 2 > CASA & TD > TD,511,511,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 1 > BATCH 2 > CASA & TD > TD_2,615,615,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 1 > BATCH 2 > Core Management > Relationship Pricing (RP),1,1,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 1 > BATCH 2 > Trade and Treasury > TFPM,426,425,1,0,0,99.77,0.23,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > C1_RETEST & VERIFICATION > BRANCH & COPs MGT > C1R_OBBRN,185,183,2,0,0,98.92,1.08,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > C1_RETEST & VERIFICATION > BRANCH & COPs MGT > C1R_SI,20,20,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > C1_RETEST & VERIFICATION > CASA & TD > C1R_CASA,115,115,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > C1_RETEST & VERIFICATION > CASA & TD > C1R_TD,83,83,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > C1_RETEST & VERIFICATION > CORE MANAGEMENT > C1R_BASE OTHERS,2,2,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > C1_RETEST & VERIFICATION > PAYMENT & TRXN > C1R_ATM,93,93,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > C1_RETEST & VERIFICATION > PAYMENT & TRXN > C1R_BOOK TRANSFER,104,101,0,3,0,100.00,0.00,2.88,0.00
FUCTIONAL TESTING > CYCLE 2 > C1_RETEST & VERIFICATION > PAYMENT & TRXN > C1R_CBPMP,6,6,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > C1_RETEST & VERIFICATION > PAYMENT & TRXN > C1R_CLEARING,10,10,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > C1_RETEST & VERIFICATION > PAYMENT & TRXN > C1R_CROSS BORDER,54,54,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > C1_RETEST & VERIFICATION > PAYMENT & TRXN > C1R_DHV,16,16,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > C1_RETEST & VERIFICATION > PAYMENT & TRXN > C1R_DLV,51,51,0,0,0,100.00,0.00,0.00,0.00
