"Test Suite","Test Case",Version,Platform,Priority,Build,"Assigned To","Execution Result","Execution Date","Tested By",Notes,Duration,"Execution Type","Execution ID","Bug ID",HAS_ATTACHMENT,"CEV Value","Test Case Type"
"ARCHIVE > WORKING D > TESTING",ARC1:RPT-OBBRN-TC530,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 20:54:22","Mwaimu Mtingele","23 TEST",,Manual,81581,,FALSE,New,Positive
"ARCHIVE > WORKING D > TESTING",ARC2:CASA-RPBI-106,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 20:18:20","Mwaimu Mtingele",test,,Manual,81577,,FALSE,"High risk customers",Positive
"ARCHIVE > WORKING D > TESTING",ARC3:CASA-RPBI-25,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 21:03:12","Mwaimu Mtingele","ANOTHER TESSSSST",,Manual,81582,,FALSE,"List of cancelled TD",Positive
"ARCHIVE > WORKING D > TESTING",ARC4:RPT-OBBRN-TC529,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 21:20:40","Mwaimu Mtingele","ANOTHER TEST 0023",,Manual,81587,,FALSE,New,Positive
"ARCHIVE > WORKING D > TESTING",ARC979:CHAN_MKONONI-TC01,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 20:52:12","Mwaimu Mtingele","TEST 0023",,Manual,81580,,FALSE,"BRANCH PORTAL",Positive
"ARCHIVE > WORKING D > TESTING",ARC980:CHAN_MKONONI-TC02,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 19:59:37","Mwaimu Mtingele",TEAST,,Manual,81575,,FALSE,"BRANCH PORTAL",Positive
"ARCHIVE > WORKING D > TESTING",ARC980:CHAN_MKONONI-TC02,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 20:09:28","Mwaimu Mtingele","THIS IS A TEST",,Manual,81576,,FALSE,"BRANCH PORTAL",Positive
"ARCHIVE > WORKING D > TESTING",ARC981:CHAN_MKONONI-TC03,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 21:07:36","Mwaimu Mtingele","ANOTHER ONE",,Manual,81583,,FALSE,"BRANCH PORTAL",Positive
"ARCHIVE > WORKING D > TESTING",ARC982:CHAN_MKONONI-TC04,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 21:45:43","Mwaimu Mtingele","TEST TC04",,Manual,81593,,FALSE,"BRANCH PORTAL",Positive
"ARCHIVE > WORKING D > TESTING",ARC983:CHAN_MKONONI-TC05,1,"No Platform",Low,"ARC 1 BUILD",,Failed,"2026-02-23 21:50:29","Mwaimu Mtingele","TC05 TEST -- NEW INTEGRATION",,Manual,81594,,FALSE,"BRANCH PORTAL",Positive
